Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
Abbruch|NN	-0.0048	Abbruches,Abbrüche,Abbruchs,Abbrüchen
Abdankung|NN	-0.0048	Abdankungen
Abdämpfung|NN	-0.0048	Abdämpfungen
Abfall|NN	-0.0048	Abfalles,Abfälle,Abfalls,Abfällen
Abfuhr|NN	-0.3367	Abfuhren
Abgrund|NN	-0.3465
Abhängigkeit|NN	-0.3653	Abhängigkeiten
Ablehnung|NN	-0.5118	Ablehnungen
Ablenkung|NN	-0.0435	Ablenkungen
Abnahme|NN	-0.0048	Abnahmen
Abneigung|NN	-0.0048	Abneigungen
Abnutzung|NN	-0.0048
Abriss|NN	-0.0048	Abrisse,Abrissen,Abrisses,Abrisss
Abrutsch|NN	-0.0048	Abrutschen,Abrutsche,Abrutsches,Abrutschs
Abschaffung|NN	-0.058	Abschaffungen
Abschreckung|NN	-0.0048	Abschreckungen
Abschreibung|NN	-0.3345	Abschreibungen
Abschuß|NN	-0.0048
Abschwächung|NN	-0.1935	Abschwächungen
Absenkung|NN	-0.3434	Absenkungen
Abspaltung|NN	-0.0048	Abspaltungen
Absperrung|NN	-0.0048	Absperrungen
Abstieg|NN	-0.3215	Abstiegs,Abstiege,Abstiegen,Abstieges
Abstoß|NN	-0.0048	Abstößen,Abstöße,Abstoßs,Abstoßes
Abstrich|NN	-0.3201	Abstrichen,Abstrichs,Abstriches,Abstriche
Abstumpfung|NN	-0.0048
Absturz|NN	-0.4739	Abstürzen,Absturzs,Absturzes,Abstürze
Absurdität|NN	-0.0048	Absurditäten
Abweichung|NN	-0.3462	Abweichungen
Abweisung|NN	-0.0048	Abweisungen
Abwertung|NN	-0.3283	Abwertungen
Abwärtstrend|NN	-0.1941
Abzocke|NN	-0.0048
Achtlosigkeit|NN	-0.0048
Affäre|NN	-0.1794	Affären
Aggression|NN	-0.4889	Aggressionen
Aggressivität|NN	-0.1958	Aggressivitäten
Aggressor|NN	-0.3155	Aggressoren,Aggressors
Agitation|NN	-0.0048	Agitationen
Alarm|NN	-0.0048	Alarme,Alarms,Alarmen,Alarmes
Alptraum|NN	-0.0048	Alpträume,Alpträumen,Alptraums,Alptraumes
Amateur|NN	-0.0048	Amateuren,Amateure,Amateurs
Ambivalenz|NN	-0.3266	Ambivalenzen
Androhung|NN	-0.0048	Androhungen
Anfälligkeit|NN	-0.0048
Angreifer|NN	-0.0048	Angreifers,Angreifern
Angriff|NN	-0.212	Angriffe,Angriffen,Angriffs,Angriffes
Angst|NN	-0.514	Angste,Angsten
Anklage|NN	-0.3468	Anklagen
Anmaßung|NN	-0.0048	Anmaßungen
Annullierung|NN	-0.0048	Annullierungen
