Abmachung|NN	0.0040	Abmachungen
Abschluß|NN	0.0040	Abschlüße,Abschlußs,Abschlußes,Abschlüßen
Abstimmung|NN	0.0040	Abstimmungen
Agilität|NN	0.0040
Aktivität|NN	0.0040	Aktivitäten
Aktualisierung|NN	0.0040	Aktualisierungen
Aktualität|NN	0.0040	Aktualitäten
Akzeptanz|NN	0.0040
Andrang|NN	0.0040	Andrangs,Andranges
Anerkennung|NN	0.0855	Anerkennungen
Angebot|NN	0.0711	Angeboten,Angebote,Angebots,Angebotes
Angemessenheit|NN	0.0040
Anhebung|NN	0.0040	Anhebungen
Anheiterung|NN	0.0040
Ankurbelung|NN	0.0040
Annehmlichkeit|NN	0.0040	Annehmlichkeiten
Annäherung|NN	0.0040	Annäherungen
Anpassung|NN	0.0040	Anpassungen
Anpassungsfähigkeit|NN	0.0040
Anreicherung|NN	0.0040	Anreicherungen
Anspruch|NN	0.0040	Anspruchs,Anspruches,Ansprüchen,Ansprüche
Anstand|NN	0.0040	Anstands,Anständen,Anstände,Anstandes
Anstieg|NN	0.0040	Anstiegen,Anstiegs,Anstiege,Anstieges
Anständigkeit|NN	0.0040
Anteil|NN	0.0040	Anteilen,Anteiles,Anteils,Anteile
Anziehung|NN	0.0040	Anziehungen
Applaus|NN	0.0871	Applausen,Applauss,Applause,Applauses
Attraktivität|NN	0.0040
Aufbereitung|NN	0.0040	Aufbereitungen
Aufbesserung|NN	0.0040	Aufbesserungen
Auferstehung|NN	0.0040	Auferstehungen
Aufmerksamkeit|NN	0.0040	Aufmerksamkeiten
Aufmunterung|NN	0.0040	Aufmunterungen
Aufrichtigkeit|NN	0.0040
Aufschwung|NN	0.0040	Aufschwüngen,Aufschwungs,Aufschwunges,Aufschwünge
Aufstieg|NN	0.0040	Aufstiegen,Aufstiege,Aufstiegs,Aufstieges
Aufstockung|NN	0.0040	Aufstockungen
Auftrag|NN	0.0040	Aufträgen,Aufträge,Auftrages,Auftrags
Auftrieb|NN	0.0040	Auftrieben,Auftriebs,Auftriebes,Auftriebe
Aufwertung|NN	0.0040	Aufwertungen
Aufwärtstrend|NN	0.0040
Augenweide|NN	0.0844	Augenweiden
Ausbau|NN	0.0040	Ausbaues,Ausbaus
Ausbildung|NN	0.0040	Ausbildungen
Ausdauer|NN	0.0886
Ausgleich|NN	0.0040	Ausgleichen,Ausgleichs,Ausgleiches,Ausgleiche
Ausgleichszahlung|NN	0.0040	Ausgleichszahlungen
Auszeichnung|NN	0.0040	Auszeichnungen
Authentizität|NN	0.0040
Autonomie|NN	0.0040	Autonomien
Bedeutung|NN	0.0040	Bedeutungen
Befreiung|NN	0.0040	Befreiungen
Befriedigung|NN	0.0040	Befriedigungen
Beförderung|NN	0.0040	Beförderungen
Begeisterung|NN	0.32	Begeisterungen
Begnadigung|NN	0.0040	Begnadigungen
Begünstigung|NN	0.0040	Begünstigungen
Beifall|NN	0.3265	Beifalles,Beifalls
Beifallsruf|NN	0.0040	Beifallsrufen,Beifallsrufes,Beifallsrufe,Beifallsrufs
Beilegung|NN	0.0040	Beilegungen
Beisteuerung|NN	0.0040
Beitritt|NN	0.0040	Beitritten,Beitritts,Beitritte,Beitrittes
Bekräftigung|NN	0.0040	Bekräftigungen
Belastbarkeit|NN	0.0040	Belastbarkeiten
Belebtheit|NN	0.0040
Beliebtheit|NN	0.0040
Belohnung|NN	0.0813	Belohnungen
Benefiz|NN	0.0040	Benefizes,Benefizen,Benefize
Bereicherung|NN	0.0040	Bereicherungen
Bereitschaft|NN	0.0040	Bereitschaften
Bereitstellung|NN	0.0040	Bereitstellungen
Beruhigung|NN	0.0040	Beruhigungen
Bescheidenheit|NN	0.0852
Beschleunigung|NN	0.0040	Beschleunigungen
Beschwichtigung|NN	0.0040	Beschwichtigungen
Besitz|NN	0.0040	Besitzes,Besitzs
Besserung|NN	0.0040	Besserungen,Besserungnen
Bestätigung|NN	0.0040	Bestätigungen
Beteiligung|NN	0.0040	Beteiligungen
Bewunderer|NN	0.0040	Bewunderers,Bewunderern
Bewunderung|NN	0.0040	Bewunderungen
Bildung|NN	0.0040	Bildungen
Blüte|NN	0.0040	Blüten
Bonität|NN	0.0040	Bonitäten
Bonus|NN	0.0040	Bonussen,Bonuses,Bonusen,Bonuss,Bonuse,Bonusse,Bonusses
Boom|NN	0.0040	Booms
Brillanz|NN	0.0040
Brüderlichkeit|NN	0.0040
Bund|NN	0.0040	Bünden,Bunden,Bunds,Bundes,Bunde,Bünde
Bündnis|NN	0.0040	Bündnise,Bündnises,Bündnisen,Bündnissen,Bündniss,Bündnisse,Bündnisses
Champion|NN	0.0040	Champions
Charisma|NN	0.0040
Charme|NN	0.0040	Charmes
Cleverness|NN	0.0040
Comeback|NN	0.0712	Comebacks
Dankbarkeit|NN	0.0040
Diskretion|NN	0.0040
Disziplin|NN	0.0611	Disziplinen
Duft|NN	0.2149	Duftes,Düfte,Dufts,Düften
Dynamik|NN	0.0040
Echtheit|NN	0.0040
Effizienz|NN	0.0040	Effizienzen
Ehre|NN	0.0732	Ehren
Ehrfurcht|NN	0.0040
Ehrlichkeit|NN	0.0040
Ehrwürdigkeit|NN	0.0040	Ehrwürdigkeiten
Eifer|NN	0.0040	Eiferes,Eifers
Eigenkapital|NN	0.0040
Eignung|NN	0.0040
Eindeutigkeit|NN	0.0040	Eindeutigkeiten
Einfallsreichtum|NN	0.0040	Einfallsreichtums
Einhaltung|NN	0.0040
Einheit|NN	0.0040	Einheiten
Einheitlichkeit|NN	0.0040
Einkauf|NN	0.0040	Einkäufen,Einkäufe,Einkaufes,Einkaufs
Einnahme|NN	0.0040	Einnahmen
Einsparung|NN	0.0040	Einsparungen
Einweihung|NN	0.0040	Einweihungen
Einzigartigkeit|NN	0.0040
Eleganz|NN	0.0040
